describe,evaluate,introduce,movie_name,serial_number,star
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,648928人评价,导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton/布拉...1999/美国德国/剧情动作悬疑惊悚,搏击俱乐部,49,9.0
优雅的孤独。,385331人评价,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...1974/美国/剧情犯罪,教父2,50,9.2
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,515908人评价,导演:彼得·威尔PeterWeir主演:罗宾·威廉姆斯RobinWilliams/罗伯...1989/美国/剧情,死亡诗社,51,9.1
动物版《哈姆雷特》。,601541人评价,导演:RogerAllers/罗伯·明可夫RobMinkoff主演:乔纳森·泰勒·托马...1994/美国/动画冒险歌舞,狮子王,52,9.0
经典之作，历久弥新。,291528人评价,导演:万籁鸣LaimingWan/唐澄ChengTang主演:邱岳峰YuefengQiu/...1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,大闹天宫,53,9.3
承前启后的史诗篇章。,512769人评价,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...2002/美国新西兰/剧情动作奇幻冒险,指环王2：双塔奇兵,54,9.1
骗子大师和执著警探的你追我跑故事。 ,610918人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:莱昂纳多·迪卡普里奥L...2002/美国加拿大/传记犯罪剧情,猫鼠游戏,55,9.0
别样人生。,423508人评价,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck&n...2006/德国/剧情悬疑,窃听风暴,56,9.1
传说的开始。,577020人评价,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...2001/新西兰美国/剧情动作奇幻冒险,指环王1：魔戒再现,57,9.0
音乐能化解仇恨。,389173人评价,导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...2002/法国德国英国波兰/剧情传记历史战争音乐,钢琴家,58,9.2
视觉革命。,581792人评价,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski主...1999/美国澳大利亚/动作科幻,黑客帝国,59,9.0
爱是一切逻辑和原由。,561113人评价,导演:朗·霍华德RonHoward主演:罗素·克劳RussellCrowe/艾德·哈...2001/美国/传记剧情,美丽心灵,60,9.0
人生不能像做菜，把所有的料都准备好了才下锅。,423365人评价,导演:李安AngLee主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...1994/中国台湾美国/剧情家庭,饮食男女,61,9.1
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,453813人评价,导演:GuyRitchie主演:JasonFlemyng/DexterFletcher/NickMoran1998/英国/剧情喜剧犯罪,两杆大烟枪,62,9.1
自由万岁。,441757人评价,导演:米洛斯·福尔曼MilošForman主演:杰克·尼科尔森JackNichols...1975/美国/剧情,飞越疯人院,63,9.1
你给我翻译翻译，神马叫做TMD的惊喜。,1194793人评价,导演:姜文WenJiang主演:姜文WenJiang/葛优YouGe/周润发Yun-F...2010/中国大陆中国香港/剧情喜剧动作西部,让子弹飞,64,8.8
在时间之河里感受溺水之苦。,730675人评价,导演:大卫·芬奇DavidFincher主演:凯特·布兰切特CateBlanchett/...2008/美国/剧情爱情奇幻,本杰明·巴顿奇事,65,8.9
你以为你以为的就是你以为的。,872428人评价,导演:奥里奥尔·保罗OriolPaulo主演:马里奥·卡萨斯MarioCasas/阿...2016/西班牙/剧情犯罪悬疑惊悚,看不见的客人,66,8.8
去除成见，需要勇气。,1134222人评价,导演:彼得·法雷里PeterFarrelly主演:维果·莫腾森ViggoMortensen/...2018/美国/剧情喜剧传记,绿皮书,67,8.9
美丽无罪。,723115人评价,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:莫妮卡·贝鲁奇Monica...2000/意大利美国/剧情战争情色,西西里的美丽传说,68,8.9
美利坚精神输出大片No1.,476807人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...1998/美国/剧情历史战争,拯救大兵瑞恩,69,9.0
奔跑的孩子是天使。,298077人评价,导演:马基德·马基迪MajidMajidi主演:法拉赫阿米尔·哈什米安AmirFa...1997/伊朗/剧情儿童家庭,小鞋子,70,9.2
如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,301624人评价,导演:阿兰·葛斯彭纳AlainGsponer主演:阿努克·斯特芬AnukSteffen/...2015/德国瑞士南非/剧情冒险家庭,海蒂和爷爷,71,9.2
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,369624人评价,导演:马克·赫尔曼MarkHerman主演:阿萨·巴特菲尔德AsaButterfield...2008/英国美国/剧情战争,穿条纹睡衣的男孩,72,9.1
暗恋的极致。,670441人评价,导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama/丰川悦司Ets...1995/日本/剧情爱情,情书,73,8.9
海豚的微笑，是世界上最高明的伪装。,291797人评价,导演:路易·西霍尤斯LouiePsihoyos主演:RichardO'Barry/路易·西霍...2009/美国/纪录片,海豚湾,74,9.3
用音乐化解仇恨，让歌声串起美好。,443011人评价,导演:罗伯特·怀斯RobertWise主演:朱莉·安德鲁斯JulieAndrews/克...1965/美国/剧情传记爱情歌舞,音乐之声,75,9.0
往事如烟，无处祭奠。,310797人评价,导演:赛尔乔·莱翁内SergioLeone主演:罗伯特·德尼罗RobertDeNiro...1984/美国意大利/犯罪剧情,美国往事,76,9.2
孪生蝙蝠侠大战克隆金刚狼。,629852人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:休·杰克曼HughJackman...2006/英国美国/剧情悬疑惊悚,致命魔术,77,8.9
故事的高级讲法。,617856人评价,导演:昆汀·塔伦蒂诺QuentinTarantino主演:约翰·特拉沃尔塔JohnTra...1994/美国/剧情喜剧犯罪,低俗小说,78,8.9
警察抓小偷，老鼠玩死猫。,724425人评价,导演:大卫·芬奇DavidFincher主演:摩根·弗里曼MorganFreeman/布...1995/美国/剧情犯罪悬疑惊悚,七宗罪,79,8.8
安东尼·霍普金斯的顶级表演。,626679人评价,导演:乔纳森·戴米JonathanDemme主演:朱迪·福斯特JodieFoster/安...1991/美国/剧情犯罪惊悚,沉默的羔羊,80,8.8
人的命运被自己瞬间的抉择改变。,689751人评价,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber主...2004/美国加拿大/剧情悬疑科幻惊悚,蝴蝶效应,81,8.8
昔日翩翩少年，今日大腹便便。,695259人评价,导演:MartinScorsese主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...2010/美国/剧情悬疑惊悚,禁闭岛,82,8.8
人生中应该拥有这样的一段豁然开朗。,519712人评价,导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon/罗宾·...1997/美国/剧情,心灵捕手,83,8.9
爱情纠缠，男女一致。,465048人评价,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/梁朝伟TonyLeu...1997/中国香港日本韩国/剧情爱情同性,春光乍泄,84,8.9
小清新的故事里注入了大历史的情怀。,654628人评价,导演:韦斯·安德森WesAnderson主演:拉尔夫·费因斯RalphFiennes/...2014/美国德国英国/剧情喜剧冒险,布达佩斯大饭店,85,8.8
以戏谑来戏谑戏谑。,553619人评价,导演:中岛哲也TetsuyaNakashima主演:中谷美纪MikiNakatani/瑛太E...2006/日本/剧情歌舞,被嫌弃的松子的一生,86,8.9
大时代中的人生，小人物的悲喜。,207745人评价,导演:查理·卓别林CharlesChaplin主演:查理·卓别林CharlesChaplin...1936/美国/剧情喜剧爱情,摩登时代,87,9.3
绝对意义上的美轮美奂。,982438人评价,导演:詹姆斯·卡梅隆JamesCameron主演:萨姆·沃辛顿SamWorthington...2009/美国英国/动作科幻冒险,阿凡达,88,8.7
浪漫忧郁的成人童话。,829332人评价,导演:蒂姆·波顿TimBurton主演:约翰尼·德普JohnnyDepp/薇诺娜·...1990/美国/剧情奇幻爱情,剪刀手爱德华,89,8.7
史诗大片的典范。,455616人评价,导演:梅尔·吉布森MelGibson主演:梅尔·吉布森MelGibson/苏菲·玛...1995/美国/动作传记剧情历史战争,勇敢的心,90,8.9
我是一个演员。,698102人评价,导演:周星驰StephenChow/李力持Lik-ChiLee主演:周星驰StephenCh...1999/中国香港/喜剧剧情爱情,喜剧之王,91,8.7
最不可能的那个人永远是最可能的。,586283人评价,导演:詹姆斯·曼高德JamesMangold主演:约翰·库萨克JohnCusack/雷...2003/美国/剧情悬疑惊悚,致命ID,92,8.8
约翰尼·德普的独角戏。,654474人评价,导演:戈尔·维宾斯基GoreVerbinski主演:约翰尼·德普JohnnyDepp/...2003/美国/动作冒险奇幻,加勒比海盗,93,8.8
10年的完美句点。,560378人评价,导演:大卫·叶茨DavidYates主演:丹尼尔·雷德克里夫DanielRadcliffe...2011/美国英国/奇幻冒险,哈利·波特与死亡圣器(下),94,8.9
法式小清新。 ,789628人评价,导演:让-皮埃尔·热内Jean-PierreJeunet主演:奥黛丽·塔图AudreyTau...2001/法国德国/喜剧爱情,天使爱美丽,95,8.7
关于连环杀人悬案的集体回忆。,489247人评价,导演:奉俊昊Joon-hoBong主演:宋康昊Kang-hoSong/金相庆Sang-kyun...2003/韩国/剧情动作犯罪悬疑惊悚,杀人回忆,96,8.8
每个人心中都有一座断背山。,550959人评价,导演:李安AngLee主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...2005/美国加拿大/剧情爱情同性家庭,断背山,97,8.8
人言可畏。,265471人评价,导演:托马斯·温特伯格ThomasVinterberg主演:麦斯·米科尔森MadsMik...2012/丹麦瑞典/剧情,狩猎,98,9.1
沉醉在电影的情感和视听氛围中无法自拔。,477114人评价,导演:卢卡·瓜达尼诺LucaGuadagnino主演:艾米·汉莫ArmieHammer/...2017/意大利法国巴西美国荷兰德国/剧情爱情同性,请以你的名字呼唤我,99,8.9
人与自然的战争史诗。,405497人评价,导演:宫崎骏HayaoMiyazaki主演:松田洋治YôjiMatsuda/石田百合...1997/日本/动画奇幻冒险,幽灵公主,100,8.9
《我是山姆》的《美丽人生》。,389005人评价,导演:李焕庆Hwan-kyeongLee主演:柳承龙Seung-yongRyoo/朴信惠Shi...2013/韩国/剧情喜剧家庭,7号房的礼物,101,8.9
一场华丽的意淫。,467203人评价,导演:姜文WenJiang主演:夏雨YuXia/宁静JingNing/陶虹HongTao1994/中国大陆中国香港/剧情爱情,阳光灿烂的日子,102,8.8
那些静得只能听见呼吸的日子里，你明白孤独即生活。,311919人评价,导演:森淳一JunichiMori主演:桥本爱AiHashimoto/三浦贵大Takahir...2014/日本/剧情,小森林 夏秋篇,103,9.0
寂寞没有期限。,589692人评价,导演:王家卫KarWaiWong主演:林青霞BrigitteLin/金城武TakeshiK...1994/中国香港/剧情爱情,重庆森林,104,8.7
深入内心的恐怖，出人意料的结局。,404265人评价,导演:M·奈特·沙马兰M.NightShyamalan主演:布鲁斯·威利斯BruceWi...1999/美国/剧情悬疑惊悚,第六感,105,8.9
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,457141人评价,导演:泷田洋二郎YôjirôTakita主演:本木雅弘MasahiroMotoki/...2008/日本/剧情,入殓师,106,8.8
梦的勾结。,294462人评价,导演:今敏SatoshiKon主演:林原惠美MegumiHayashibara/江守彻Toru...2006/日本/动画悬疑科幻惊悚,红辣椒,107,9.0
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,275975人评价,导演:森淳一JunichiMori主演:桥本爱AiHashimoto/三浦贵大Takahir...2015/日本/剧情,小森林 冬春篇,108,9.0
年度最佳date movie。,665078人评价,导演:大卫·芬奇DavidFincher主演:本·阿弗莱克BenAffleck/罗莎蒙...2014/美国/剧情犯罪悬疑惊悚,消失的爱人,109,8.7
缘分是个连绵词，最美不过一瞬。,443125人评价,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...1995/美国奥地利瑞士/剧情爱情,爱在黎明破晓前,110,8.8
我们都曾经是一一。,262407人评价,导演:杨德昌EdwardYang主演:吴念真/李凯莉KellyLee/金燕玲Elai...2000/中国台湾日本/剧情爱情家庭,一一,111,9.0
华太师是黄霑，吴镇宇四大才子之一。,759211人评价,导演:李力持Lik-ChiLee主演:周星驰StephenChow/巩俐LiGong/陈...1993/中国香港/喜剧爱情古装,唐伯虎点秋香,112,8.6
少女情怀总是诗。,340817人评价,导演:近藤喜文YoshifumiKondo主演:本名阳子YoukoHonna/小林桂树K...1995/日本/剧情爱情动画,侧耳倾听,113,8.9
穷尽一生，我们要学会的，不过是彼此拥抱。,345934人评价,导演:托尼·凯耶TonyKaye主演:艾德里安·布洛迪AdrienBrody/马西...2011/美国/剧情,超脱,114,8.9
诺兰就是保证。,528488人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...2012/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士崛起,115,8.8
两张绝世的脸。 ,536931人评价,导演:程小东Siu-TungChing主演:张国荣LeslieCheung/王祖贤JoeyW...1987/中国香港/爱情奇幻武侠古装,倩女幽魂,116,8.7
你是我最好的朋友，你是我唯一的朋友 。,340347人评价,导演:亚当·艾略特AdamElliot主演:托妮·科莱特ToniCollette/菲利...2009/澳大利亚/剧情喜剧动画,玛丽和马克思,117,8.9
我的平常生活就是他人的幸福。,205161人评价,导演:是枝裕和HirokazuKoreeda主演:柳乐优弥YûyaYagira/北浦爱...2004/日本/剧情,无人知晓,118,9.1
相逢只要一瞬间，等待却像是一辈子。,385705人评价,导演:陈可辛PeterChan主演:黎明LeonLai/张曼玉MaggieCheung/...1996/中国香港/剧情爱情,甜蜜蜜,119,8.8
没有一人完全善，也没有一人完全恶。,548427人评价,导演:中岛哲也TetsuyaNakashima主演:松隆子TakakoMatsu/冈田将生...2010/日本/剧情惊悚,告白,120,8.7
触不到的恋人。,371044人评价,导演:大森贵弘TakahiroOmori主演:佐仓绫音AyaneSakura/内山昂辉K...2011/日本/剧情爱情动画奇幻,萤火之森,121,8.9
Balalala~~~,737932人评价,导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams主演:斯科特...2014/美国/喜剧动作科幻动画冒险,超能陆战队,122,8.7
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,434235人评价,导演:蒂姆·波顿TimBurton主演:伊万·麦克格雷格EwanMcGregor/阿...2003/美国/剧情家庭奇幻冒险,大鱼,123,8.8
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,469446人评价,导演:姜炯哲Hyeong-CheolKang主演:沈恩京Eun-kyungShim/闵孝琳Hy...2011/韩国/剧情喜剧,阳光姐妹淘,124,8.8
和谐的生活离不开摸头与被摸头。,566688人评价,导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders主演:...2010/美国/动画奇幻冒险,驯龙高手,125,8.7
曾经的那段美好会沉淀为一辈子的记忆。,402099人评价,导演:米林宏昌HiromasaYonebayashi主演:志田未来MiraiShida/神木...2010/日本/动画奇幻冒险,借东西的小人阿莉埃蒂,126,8.8
百看不厌。 ,483818人评价,导演:刘镇伟JeffreyLau主演:梁朝伟TonyLeungChiuWai/林青霞Bri...1993/中国香港/喜剧奇幻武侠古装,射雕英雄传之东成西就,127,8.7
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,384227人评价,导演:北野武TakeshiKitano主演:北野武TakeshiKitano/关口雄介Yus...1999/日本/剧情喜剧,菊次郎的夏天,128,8.8
有时候幸福需要等一等。 ,401907人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...2004/美国/喜剧剧情爱情,幸福终点站,129,8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,374086人评价,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...2004/美国法国/剧情爱情,爱在日落黄昏时,130,8.8
恐怖分子的“秋菊打官司”。,470808人评价,导演:金秉祐Byeong-wooKim主演:河正宇Jung-wooHa/李璟荣Kyeong-y...2013/韩国/剧情犯罪悬疑,恐怖直播,131,8.8
坏人的好总是比好人的好来得更感人。,192554人评价,导演:克林特·伊斯特伍德ClintEastwood主演:凯文·科斯特纳KevinCos...1993/美国/剧情犯罪,完美的世界,132,9.1
警恶惩奸，维护世界和平这个任务就交给你了，好吗？,712335人评价,导演:周星驰StephenChow主演:周星驰StephenChow/元秋QiuYuen/...2004/中国大陆中国香港/动作喜剧犯罪奇幻,功夫,133,8.6
土壤没有落叶不会肥沃，没有了你就不算人生。,105749人评价,导演:伏原健之KenshiFushihara主演:津端修一ShûichiTsubata/津...2017/日本/纪录片,人生果实,134,9.5
Mr. I Don't Care其实也有Care的时候。,729444人评价,导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud主演:...2010/美国法国/喜剧动画冒险,神偷奶爸,135,8.6
不要给它起名字，起了名字就有感情了。,479509人评价,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman主演:约...2001/美国/儿童喜剧动画奇幻冒险,怪兽电力公司,136,8.7
跨度十五年的欢乐与泪水。,371635人评价,导演:李·昂克里奇LeeUnkrich主演:汤姆·汉克斯TomHanks/蒂姆·艾...2010/美国/喜剧动画奇幻冒险,玩具总动员3,137,8.8
传奇的年代，醉人的童话。,157922人评价,导演:王树忱ShuchenWang/钱运达YundaQian主演:丁建华JianhuaDin...1983(中国大陆)/中国大陆/动画奇幻,天书奇谭,138,9.2
爱是摈弃傲慢与偏见之后的曙光。,568924人评价,导演:乔·怀特JoeWright主演:凯拉·奈特莉KeiraKnightley/马修·...2005/法国英国美国/剧情爱情,傲慢与偏见,139,8.6
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,597665人评价,导演:梅尔·吉布森MelGibson主演:安德鲁·加菲尔德AndrewGarfield/...2016/美国澳大利亚/剧情传记历史战争,血战钢锯岭,140,8.7
任何信念的力量，都无法改变命运。,256734人评价,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...1990/美国/剧情犯罪,教父3,141,8.9
